nom_ligne,avg_temperature
B26,18.46473484848485
M36,17.566075
B12,18.307700101317124
M15,17.87406779661017
B3,17.625616224648986
T25,18.168244365361804
M9,17.65180250783699
T9,18.021027397260273
M34,18.15774647887324
M18,18.04011099899092
M17,18.018012958963283
B27,18.167119741100326
B15,17.804927536231883
T2,17.723125000000003
M27,18.169081735620587
M30,17.91187250996016
T29,17.96575163398693
B2,18.27472222222222
T33,17.730283687943263
T28,17.79840611353712
M13,18.703872180451125
M10,17.887623642943307
M28,17.75301818181818
M24,18.281942446043164
B16,17.960429389312974
B13,17.91358762886598
M21,17.619045893719807
M29,18.114472222222222
T4,18.537770800627943
M32,17.850062370062368
B6,18.098451536643026
M6,18.26358208955224
T3,17.983637640449437
M26,17.567068062827225
T21,18.494915730337077
M35,17.89402569593148
T1,18.204707446808513
M12,18.13749027237354
M14,18.07014598540146
M2,18.101018867924527
T13,17.732404643449417
T14,17.831652173913042
B7,18.032811447811447
T16,17.87754800590842
T32,17.91795163584637
T27,17.903050259965337
M25,18.288479931682325
M20,18.11958795562599
B22,18.033793738489873
M11,17.590048367593713
T12,18.134422253922967
T15,18.069904397705542
M4,17.998945454545456
T30,18.21557986870897
M1,17.90014869888476
M5,17.58625
B17,17.808989139515457
M16,17.70029411764706
M33,17.942515337423313
B21,18.115537313432835
T18,17.792175
M22,18.17523166023166
M31,18.119516539440205
B24,18.00115291262136
T31,18.101733449477354
M3,17.86976680384088
B18,18.73906408952187
B25,17.84894964028777
T17,18.133135135135134
B1,17.85098765432099
B28,18.43578181818182
T23,18.13574931880109
M37,17.939335038363172
B4,17.96561971830986
B20,17.793268858800776
T10,17.770000000000003
T19,18.168072776280322
B8,18.288756957328385
B14,18.017197898423817
T8,17.993222530009234
T26,17.589811764705882
T24,18.144265842349306
B11,18.061447154471548
M8,17.98464362850972
B10,18.26841758241758
B23,17.889518900343642
M38,18.080054945054947
M7,18.099366883116883
T7,17.71787197231834
T5,17.84364161849711
T11,17.64530035335689
T6,18.20892908827786
M23,17.957229381443298
M19,17.769481865284977
B9,17.95376830892144
B19,17.987136752136752
B5,17.72608455882353
T20,18.087766990291264
M39,17.654064885496183
T22,18.067459526774595
