nom_ligne,correlation
B1,-0.048891157765011135
T1,0.06626604111695156
B2,0.01097893828571441
M1,0.0363626109334057
M2,0.012450872065351235
B3,-0.003594661728741619
B4,-0.009472320391646553
B5,-0.044910080378874694
M3,0.020596404932091635
B6,0.032554602668764025
T2,-0.09135512525272506
M4,0.053733165547205516
T3,0.019616016753813442
T4,0.0227988592396336
T5,0.06857564628127713
T6,-0.004742835469782171
M5,-0.015799402106279774
B7,0.0009084520690503377
M6,0.008901021934498475
M7,-0.03927198442452522
B8,0.0025948105587282697
M8,0.026676959386284817
B9,0.07001658105890218
T7,0.10816323487211929
M9,-0.004775878382172641
T8,0.013766972845202967
M10,-0.008739544749693103
M11,-0.03929487428478022
M12,0.022713967159658423
M13,-0.05726196521538068
T9,-0.013487827161642195
M14,0.013189140623580132
T10,0.049135176469430476
B10,0.035637720447773746
T11,-0.13212867794080743
M15,0.039930814038108185
M16,-0.07799177792632078
M17,-0.011251617766569471
T12,0.02035237740390306
M18,-0.03718460123776381
M19,0.02721437272178251
T13,-0.05741784356148444
B11,0.024547498534279462
B12,-0.033656892264439575
B13,0.028814848350295776
T14,-0.02519860990609133
T15,0.051508909595711194
T16,0.019270430616101793
M20,0.02702760519229735
M21,0.007425845972971288
T17,0.029847081589435883
T18,0.03884181814219093
B14,0.00974764633551652
B15,-0.014716322180939212
M22,0.035956458960332165
M23,-0.022063093755325697
T19,-0.044962489301332134
M24,-0.03432976167229203
T20,-0.023263881436856256
B16,-0.01781442681575183
B17,0.009139990652877072
M25,-0.0052991673107273705
M26,-0.007152737228023522
M27,-0.05909302655431964
M28,-0.009910627792784349
B18,-0.0008739805980607365
M29,0.05912986871435116
M30,0.016814982901305
T21,-0.04460556217341064
M31,-0.0038683425803100044
M32,-0.012041766019938055
B19,-0.057469644840376664
T22,-0.012537227670163112
M33,-0.03051543124982115
B20,0.0380822630762089
M34,0.04054916965019009
B21,0.00576301952451868
B22,0.0022107917205295958
T23,-0.027443793009774044
M35,-0.06101389872595187
M36,-0.008219102651413386
T24,0.04139079162296973
B23,0.006972006625548443
T25,-0.006931916057140906
T26,0.02695231732810485
B24,0.0659055601073582
T27,-0.020481352321285486
B25,-0.0019894024672761326
M37,-0.00881071638058172
T28,-0.04372107469343062
T29,0.03536465869759971
T30,0.018741696301556022
M38,-0.024171430426580588
B26,-0.007371727197670634
T31,0.016019376640022575
B27,0.022524568178802225
B28,0.025286951398715268
T32,0.030133163158698423
T33,0.016526126212837278
M39,-0.016934880592866745
